Title,Company,Location,JobDescription
Quality Assurance Specialist,"Armenian - American Food Processing Company""JV LLC","Village Merdzavan, Armenia",N/A
Production Supervisor,Armenian - American Food Processing Company JV LLC,"Village Merdzavan, Armenia",N/A
Procurement Specialist,Armenian - American Food Processing Company JV LLC,"Village Merdzavan, Armenia",N/A
Network Systems Engineer,K TELECOM CJSC,"Yerevan, Armenia","The Network Systems Engineer has the responsibility to
plan, develop, coordinate and implement cost effective solutions to keep
the Wide Area Network and Local Area Network (WAN and LAN) environments
available and scalable."
Customer Support Representative,Xalt LLC,"Yerevan, Armenia","Xter.net is seeking a motivated and enthusiastic
Customer Support Representative (CSR) with strong communication skills.
The candidate will be trained before assuming his/her work
responsibilities."
Manager of Foreign Relations Department,"""Tanger"" Recruitment  Company","Yerevan, Armenia","We are seeking a Manager to work for a medical
company."
The Role of Information Technologies in Managing the Political,"Caucasus Reserach Resource Centers-Armenia, a Program of the Eurasia
Foundation Representative Office in Armenia","Yerevan, Armenia
DETAIL DESCRIPTION:  Different aspects of information technologies in
managing the political and socio-economic relations will be discussed
during six days training. For further details please see the attached
outline of the training.",NA
Post-Conflict Economics: Case Study Armenia and Options for,"Caucasus Reserach Resource Centers-Armenia, a Program of the Eurasia
Foundation Representative Office in Armenia","Yerevan, Armenia
DETAIL DESCRIPTION:  Following issues will be discussed during the
seminar:
- The role of international community in post-conflict reconstruction;
- Economic priorities for reconstruction;
- Armenia in a post-conflict period;
- Options for development: role of diaspora.",NA
Swatch Brand Manager,Stalker LLC,"Yerevan, Armenia","We need a strong, creative, communicative person, with
good knowledge of management and marketing to work as a Swatch Brand
Manager."
Individual Manager,Converse Bank CJSC,"Yerevan, Armenia",N/A
Monitoring and Evaluation Officer,IntraHealth International,"Yerevan, Armenia","This position is responsible for designing and
managing all monitoring, evaluation and research efforts as part of
Project NOVA. The Monitoring and Evaluation Officer is supervised by the
Chief of Party."
Automated Test Engineer,CQGI MA,"Yerevan, Armenia","The primary objective of this position is to ensure
the quality of CQG products by following and enhancing the SQA (Software
Quality Assurance) processes."
Assistant Project Officer - Education-NOB,UNICEF,"Yerevan, Armenia","Under the general supervision of the Programme
Officer, the Assistant Project Officer contributes to the design and
implementation, evaluation of the Education Programme within the
Republic of Armenia."
Project and Communication Assistant,"Internews, Media Support NGO","Yerevan, Armenia",N/A
Irrigation and Water Management Specialist,Center for Agribusiness & Rural Development (CARD),"Yerevan, Armenia","Under the direct supervision of the CARD Rural
Development Manager, the Irrigation and Water Management Specialist is
responsible for creating and implementing new and existing rural
development projects and providing technical assistance. This position
is located within CARDs Rural Development Department."
Rural Development Specialist,Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under direct supervision of the CARDs Rural
Development Manager, the Rural Development Specialist is responsible for
creating and implementing rural development projects and technical
assistance. This position is located within CARDs Rural Development
Department."
Public Relations Coordinator,Save the Children Armenia Field Office,"Yerevan, Armenia","Save the Children Armenia Field Office is seeking an
appropriate candidate for a Public Relations Coordinator for all Field
Office programs. The PRC is responsible for the production of
communication materials for Save the Children Armenia Field Office. The
communication and publicity materials include but are not limited to
press releases, brochures, leaflets, web site information, program
reports and success stories. The main users of the information materials
are donors, government and local authorities, partner organizations, Save
the Children FO staff, SC/headquarters and the public.  The PRC
periodically updates AFO publicity materials and is responsible for
drafting AFO quarterly contributions to newsletters for Save the
Children, USAID and the US Embassy, and for maintaining regular
communication about AFOs achievements with donors and other groups."
Gender and Youth Programs Specialist,Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under direct supervision of the CARDs Rural
Development Manager, the Gender and Youth Programs Specialist is
responsible for creating and implementing rural gender and youth
development projects.  This position is located within the CARDs Rural
Development Department."
Guide,Travel Cafe Yerevan,"Yerevan, Armenia",N/A
Office Work Assistant,Kifato,"Yerevan, Armenia",N/A
Controller,Lycos Europe,"Yerevan, Armenia","The emphasis of this position is the implementation of
all central controlling instruments and processes in our Armenian
subsidiary as well as the consultation and support of the local resident
managing director. The incumbent will pass a training period for a
duration of 3 month which will take place in our German headquarter in
Guetersloh/ Germany."
Flash Action Scripting Programmer/ HTML Coder,Koan Technologies Armenian Branch,"Yerevan, Armenia","Koan Technologies is looking for a skilled Flash
Action Scripting Programmer for a long-term project requiring traveling
to the Brussels, Belgium."
Legal Supervisor,Hovnanian International,"Yerevan, Armenia",N/A
Senior Lending Officer,Cascade Capital Holdings CJSC,"Yerevan, Armenia","Cascade Credit CSJC universal credit organization, a
member of Cascade Capital Holdings CJSC, is looking for a motivated,
self-driven, highly professional candidate for the position of Senior
Lending Officer.  We are seeking a well organized and hard working
person able to work in a western-style office environment towards the
achievement of team goals."
English Language Courses,Career Center NGO,"Yerevan, Armenia
DETAIL DESCRIPTION:  Career Center announces below mentioned English
Language Courses:
- The Main English Course (consisting a total of 3 levels)
1. Beginner
2. Intermediate
3. Advanced
The duration of each level is 3 months.
SPECIAL COURSES:
- Business English - Level I
- Business English - Level II 
- Business English - Level III (Complete)
- TOEFL Preparation (Non certificate)
The duration of each level is 2 months.
Business English Courses also cover Special Business Writing and
Communication Classes.",NA
Mobile Medical Team Officer,Scientific Association of Medical Students of Armenia (SAMSA),"Yerevan, Armenia","SAMSA is looking for a Mobile Medical Team Officer
(MMT Officer) for its ""Increase Access to Primary Health Care through
Mobile Medical Teams"" project supported by USAID. The MMT Officer will
work for SAMSA Yerevan office with travelling to Gegharkunik marz
(travel time - over 50%)."
Information/Education/Communication (IEC) Assistant,Mdecins Sans Frontires-Belgium,"Sevan, Gegharkunik marz, Armenia","Under the direct supervision of the IEC Responsible,
the IEC Assistant shall assist the IEC Responsible in all tasks related
to information, education and communication."
Designer,Boomerang Software LLC,"Yerevan, Armenia","Boomerang Software LLC is currently seeking for a 
committed individual to fill the vacancy of graphic and web designer
position. The successful candidates should meet the below eligibility
criteria:"
MSF Cabinet Secretary/ Translator,MSF-Greece Armenian Branch,"Gyumri,  Armenia","The Secretary/Translator is the key person in the
day-to-day secretarial work and translating work in MSF Cabinets."
Outreacher,MSF-Greece Armenian Branch,"Gyumri,  Armenia",N/A
Health and Safety Manager,"""Deno Gold Mining Company"" CJSC","Kapan, Armenia",N/A
Local Consultant on International experience in Science,UNDP Armenia Country Office,"Yerevan, Armenia","The incumbent will work under the overall supervision
of UNDP Portfolio Manager and direct supervision of Team Leader for
Science Component of Strengthening Policy Development Capacities of the
MES."
Administrative Assistant,"""ABM Soft Prof"" Ltd.","Yerevan, Armenia","Under the direct supervision of the General Director
the Administrative Assistant will be responsible for a variety of tasks
essential to maintaining efficient office operation. This position
requires ability to plan a complex range of duties in a constructive and
autonomous manner."
Research Analysts,Japonica Intersectoral,"Yerevan, Armenia","Japonica Intersectoral seeks to hire 7 to 10
individuals for the positions of Research Analysts for its Yerevan
Office. Research Analysts will be responsible for writing research
reviews."
AUA Club/ Restaurant Manager,"American University of  Armenia, Yerevan","Yerevan,  Armenia",N/A
Air Tickets Seller,Accept Employment Agency,"Yerevan, Armenia","We are looking for a responsible, dedicated person,
with good skills of communication, ready to fulfil the position of Air
Tickets Seller in an air-tickets sales agency."
Store-Chain Manager/ Executive Director,Accept Employment Agency,"Yerevan, Armenia","We are looking for an active and energetic person,
with good skills of communication and strong sense of responsibility to
fill the position of Store-Chain Manager/ Executive Director in a
clothing and accessories store."
Finance Director,DPK Consulting,"Yerevan, Armenia","DPK Consulting seeks an Armenian national to serve as
Finance Manager for an anticipated USAID anti-corruption project in
Armenia."
Civil Society and Media Specialists,DPK Consulting,"Yerevan, Armenia","DPK Consulting seeks Armenian nationals to serve as
Civil Society Specialists for an anticipated USAID anticorruption
project in Armenia."
Program Manager Assistant,Union of Information Technology Enterprises (UITE),"Yerevan, Armenia","Union of Information Technology Enterprises is seeking
a Program Manager Assistant to help with the organization of an
exhibition. The icumbent will help the Program Manager to keep in touch
with IT community of Armenia via systematic contacts. Also assistant
should carry out tasks concerning PR and marketing."
Software Developer C++/C#,CQGI MA,"Yerevan, Armenia",N/A
Receptionist/ Secretary,Center for Agribusiness and Rural Development (CARD),"Yerevan,  Armenia","Under the direct supervision of the CARD
Administrative Services Manager, the Receptionist will provide
secretarial/clerical support and daytime dispatcher services."
Procurement Specialist,Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under the direct supervision of the CARD
Administrative Services Manager, the Procurement Specialist will be
mainly responsible for procurement of goods and services necessary for
efficient operation of CARD."
"Computer, Network and Communication Specialist",Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under the direct supervision of the CARD
Administrative Services Manager, the Computer Network and Communication
Specialist will be responsible for computer system administration,
computer network management, user support and IT equipment maintenance
to include telephone network."
Logistics and Warehouse Coordinator,Center for Agribusiness and Rural Development (CARD),"Yerevan,  Armenia","Under the direct supervision of the CARD
Administrative Services Manager, the Logistics and Warehouse Coordinator
will be responsible for warehouse management and office property control."
Sales Manager,Accept Employment Agency,"Yerevan, Armenia","We are looking for a dedicated, responsible, active
and enthusiastic personality for the position of Sales Manager."
Dean of Law Department,American University of Armenia,"Yerevan, Armenia","American University of Armenia is seeking a candidate
for the position of Dean of Law Department to provide academic
leadership in all aspects of the Department, including strategic
planning, curricular leadership, program growth and development, hiring
and evaluation of faculty, fiscal management and outcome assessment, and
fundraising."
Administrative Officer,"Save the Children Federation, Inc. Armenia Field Office","Yerevan, Armenia","The role of the Administrative Officer is to provide
the effective administrative services for the Yerevan Office including
administration, logistics, communications and liaison, filing and the
management of the office supplies storeroom. It is the Administrative
Officer's duty to ensure that all administrative functions comply with
established SC policies and procedures and are within compliance with
USAID regulations."
Accountant,European Investment and Business Consulting (EIBC),"Yerevan, Armenia","The company seeks qualified Accountants to join its
team in Yerevan."
Computer Designer,Asogik Publishing-Printing House,"Yerevan, Armenia",N/A
Project Manager and Adviser on Internal Political Issues,Embassy of the United Kingdom of Great Britain and Northern Ireland,"Yerevan, Armenia","The successful applicant will be responsible for
developing the British Embassy's assistance programmes in the areas of
human rights, good governance, conflict prevention and peace-building
and environmental protection."
"DataBase, SQL Professional",Esoft LLC,"Yerevan, Armenia","Esoft LLC is seeking DataBase, SQL Professionals."
Driver,Embassy of the United Kingdom of Great Britain and Northern Ireland,"Yerevan, Armenia","The Driver will work under the supervision of the
Senior Driver to ensure the smooth running of the Embassy Transport
Fleet."
Office Manager,Asogik Publishing-Printing House,"Yerevan, Armenia",N/A
Web Designer/ Developer,Heifer Armenia,"Yerevan, Armenia","Heifer Armenia is seeking for a qualified Web
Designer/ Developer for creation of the Heifer Caucasus Regional Program
website."
Senior Developer,"LinkGard Systems, LLC.","Yerevan, Armenia","LinkGard Systems, LLC is seeking a highly experienced
Senior Developer that can design and develop Microsoft applications. We
need ethical, energetic, and highly motivated individuals."
Curriculum Development Consultants,"""Global Developments"" Fund","Yerevan, Armenia","""Global Developments"" Fund seeks Curriculum
Development Specialists in all construction specialities."
Construction Trainers,"""Global Developments"" Fund",Armenia,"""Global Developments"" Fund seeks Trainers in all
construction specialities. The initial training program and training
materials will be provided. The trainings will take place in the towns
of Sisian, Kapan, Aparan, Vanadzor, Ijevan and Sevan beginning in July
2005."
"Project Assistant, GS-4",United Nations Population Fund  (UNFPA),"Yerevan, Armenia","The Project Assistant will work under direct
supervision of the Project Officer, and in close cooperation with the
project staff."
Community Mobilization Officer,CHF International,"Yerevan,  Armenia",N/A
"Project Driver, GS-2",United Nations Population Fund (UNFPA),"Yerevan, Armenia","The Project Driver will work under the supervision of
the Project Director and the Project Officer."
Receptionist/ Admin Assistant,Armenia Tree Project,"Yerevan, Armenia","The Administrative Assistant reports to the
Administrative Director. The incumbent will be primary responsible for
assisting on a daily operational basis to Directors, Deputy Director,
and Administrative Director. The person will be responsible for the
office general administration filing system, preparation and
distribution of interoffice correspondence."
Software Programmers,Boomerang Software LLC,"Yerevan, Armenia","Boomerang Software LLC is currently seeking committed
individuals for programming."
Finance Assistant,British American Tobacco Armenia,"Yerevan, Armenia","We are looking for people with outstanding personal
leadership abilities."
Armenian-English Languages Translator,EuroPro Communications,"Yerevan, Armenia","EuroPro Communications is looking for qualified
Armenian-English languages Translators."
C/C++ Software Developer,Sytek Developer SL,"Yerevan,  Armenia","Sytek Developer SL is actively looking for C/C++
Developers for long-term projects."
Accountant,Silentium Ltd.,"Yerevan, Armenia","We are seeking a qualified Accountant to manage the
accountancy of our two offices in Yerevan."
English-French Languages Translator,EuroPro Communications,"Yerevan, Armenia","EuroPro Communications is looking for qualified
English-French languages Translators."
Driver,Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under the direct supervision of the CARD
Administrative Services Manager, drives the office vehicle for the
transport of authorized personnel within the city and outside in the
regions."
Senior Driver,Center for Agribusiness and Rural Development  (CARD),"Yerevan, Armenia","Under the direct supervision of the CARD
Administrative Services Manager, Senior Driver drives office vehicle for
the transport of authorized personnel within the city and outside in the
regions, and provides for day-to-day maintenance of CARD vehicles."
English Language Courses,Career Center NGO,"Yerevan, Armenia
DETAIL DESCRIPTION:  Career Center announces below mentioned English
Language Courses:
- The Main English Course (consisting a total of 3 levels)
1. Beginner
2. Intermediate
3. Advanced
The duration of each level is 3 months.
SPECIAL COURSES:
- Business English - Level I
- Business English - Level II 
- Business English - Level III (Complete)
- TOEFL Preparation (Non certificate)
The duration of each level is 2 months.
Business English Courses also cover Special Business Writing and
Communication Classes.",NA
Involving Civil Society in Transboundary Water Resource,"The Eurasia Foundations SCCP Program and the UNDP Reducing Transboundary
Degradation of the Kura-Aras River Basin Project","Gudauri, Georgia
DETAIL DESCRIPTION:  Workshop participants will be introduced to
international best practice in how NGOs interact with river basin
commissions. In addition, participants will have an opportunity to
discuss the draft charter for the future Kura-Aras NGO Forum and take
part in a plenary discussion on priority areas for NGO involvement in
managing transboundary water resources in the Kura-Aras river basin.  
The participants will also have an opportunity to learn about the
cross-border projects that SCCP has supported in the area of management
of transboundary water resources in the South Caucasus. Participants
will be introduced to SCCPs grantmaking mechanisms, and organizations
from Armenia, Azerbaijan and Georgia will be encouraged to explore new
opportunities for partnership by developing draft project proposals. 
In addition to the opportunities presented by the Eurasia Foundations
SCCP, the UNDP and the Global Environmental Facility (GEF) will be
initiating a pre-proposal phase for pilot projects that will feature
public awareness building and local stakeholder involvement in
transboundary water resource management projects. It is anticipated that
selected pilot projects will be implemented in the next phase of the
project, with support through the UNDP/GEF project development.
The working languages of the workshop will be English with simultaneous
translation into Russian provided.
The workshop will take place in Gudauri, Georgia, on June 27-29, 2005.",NA
Receptionist/ Administrative Secretary for Medical Clinic,Optomed Canada,"Yerevan, Armenia",N/A
Marketing Supervisor,"""K-Telecom"" CJSC","Yerevan, Armenia",N/A
Resource/ Software Development Director,CQGI MA,"Yerevan, Armenia","The position will be responsible for bringing the
best of the best into the company and ensure that the staff is
committed to creating a high quality product as efficiently as possible."
Product Coordinator,"""K-Telecom"" CJSC","Yerevan, Armenia",N/A
Sales Executive,"""K-Telecom"" CJSC","Yerevan, Armenia",N/A
Media Relations Officer,"""K-Telecom"" CJSC","Yerevan, Armenia",N/A
Sales Unit Supervisor,"""K-Telecom"" CJSC","Yerevan, Armenia",N/A
Chief Accountant,"""Avangard Motors"" LLC","Yerevan, Armenia",N/A
Involving Civil Society in Transboundary Water Resource,"The Eurasia Foundations SCCP Program and the UNDP Reducing Transboundary
Degradation of the Kura-Araks River Basin Project","Gudauri, Georgia
DETAIL DESCRIPTION:  Workshop participants will be introduced to
international best practice in how NGOs interact with river basin
commissions. In addition, participants will have an opportunity to
discuss the draft charter for the future Kura-Araks NGO Forum and take
part in a plenary discussion on priority areas for NGO involvement in
managing transboundary water resources in the Kura-Araks river basin.  
The participants will also have an opportunity to learn about the
cross-border projects that SCCP has supported in the area of management
of transboundary water resources in the South Caucasus. Participants
will be introduced to SCCPs grantmaking mechanisms, and organizations
from Armenia, Azerbaijan and Georgia will be encouraged to explore new
opportunities for partnership by developing draft project proposals. 
In addition to the opportunities presented by the Eurasia Foundations
SCCP, the UNDP and the Global Environmental Facility (GEF) will be
initiating a pre-proposal phase for pilot projects that will feature
public awareness building and local stakeholder involvement in
transboundary water resource management projects. It is anticipated that
selected pilot projects will be implemented in the next phase of the
project, with support through the UNDP/GEF project development.
The working languages of the workshop will be English with simultaneous
translation into Russian provided.
The workshop will take place in Gudauri, Georgia, on June 27-29, 2005.",NA
Software Engineer,Synopsys Armenia CJSC,"Yerevan, Armenia","The Software Engineer will be engaged in software
design and development."
Social Worker,Mdecins Sans Frontires-Belgium,"Vardenis, Gegharkunik marz, Armenia",N/A
Office Manager,"""Termosupply Programms"" PIU SI of Ministry of Finance and Economy of RA","Yerevan, Armenia",N/A
Project Director/ Country Representative  Armenia,International Relief and Development (IRD),"Yerevan, Armenia","The Project Director/ Country Representative Armenia
will be responsible for the overall management of the US DOS Emergency
Pharmaceutical and Medical Supply Distribution Program in Armenia and
will represent IRDs activities in the country. In addition, the Project
Director/Country Representative Armenia will also assist IRD HQ in
obtaining supplementary funding."
Head of the Development and Marketing Department,INECOBANK CJSC,"Yerevan, Armenia",N/A
PR/ Advertising Manager,Kifato,Yerevan,N/A
Head of Media Unit,Caucasus Media Institute (CMI),"Yerevan, Armenia","We are looking for an expert in Mass Media to
coordinate our media projects at the Caucasus Media Institute in
Yerevan."
Rural Development Program Officer,Center for Agribusiness and Rural Development (CARD),"Yerevan,  Armenia","Under the direct supervision of CARDs Rural
Development Manager, the Rural Development Program Officer is
responsible for developing, implementing and overseeing different Rural
Development initiatives of CARD. This position is located within the
CARDs  Rural Development Department."
European Integration for South Caucasus NGOs,"The Eurasia Foundations South Caucasus Cooperation Program & the
European Commission Tacis Project","Gudauri, Georgia
DETAIL DESCRIPTION:  The Eurasia Foundations South Caucasus Cooperation
Program and the European Commission Tacis project Support to the PCA
Implementation Process, implemented by Altair Asesores and the Georgian
Foundation for Strategic and International Studies, call for letters of
interest to participate in a seminar entitled European Integration for
South Caucasus NGOs. The seminar will provide participants with an
introduction to EU institutions, the Partnership and Cooperation
Agreements, and the European Neighborhood Policy. Representatives from
non-governmental organizations with activities in the sphere of public
policy formation are invited to submit letters of interest. The working
languages of the seminar will be Russian and English with simultaneous
translation provided. The expenses of the participants, including
travel, accommodation and meals will be covered by the Eurasia
Foundations South Caucasus Cooperation Program and the Support to the
PCA Implementation Process project. The seminar will take place in
Gudauri, Georgia.
Participants will be expected to prepare for the seminar by reading the
following materials:
- Summary of the Partnership and Cooperation Agreement between the EU
and the participants country (available at:http://europa.eu.int/comm/external_relations/ceeca/pca/index.htm)
- European Neighborhood Policy Country Report for participants country
(available at: http://europa.eu.int/comm/world/enp/whatsnew_en.htm).",NA
Quality Assurance and Sanitation Specialist,Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under the direct supervision of CARDs Agribusiness
and Marketing Manager, the Quality Assurance and Sanitation Specialist
is responsible for collaborating with local producers to improve the
product quality and sanitation standards which will help to assure
manufacturing consistent quality products, reduce product spoilage and
increase competitiveness in local and export markets. This position is
located within CARDs Agribusiness and Marketing Department."
Senior Marketing Specialist,Center for Agribusiness and Rural Development  (CARD),"Yerevan,  Armenia","Under the direct supervision of CARDs Agribusiness
and Marketing Manager, the Senior Marketing Specialist is responsible
for designing, developing and implementing food products marketing
projects. This position entails an understanding of local and foreign
market requirements and ability to work on both levels. This position is
located within CARDs Agribusiness and Marketing Department."
Market Development and Research Specialist,Center for Agribusiness and Rural Development (CARD),"Yerevan,  Armenia","Under the direct supervision of CARDs Agribusiness
and Marketing Manager, the Market Development and Research Specialist is
responsible for identifying potential market opportunities for Armenian
food products. Also the person will collaborate with the local producers
to develop and disseminate market data. This position is located within
CARDs Agribusiness and Marketing Department."
Yearly Photojournalism Course,Caucasus Media Institute (CMI),"Yerevan, Armenia
DETAIL DESCRIPTION:  The CMI Photojournalism course is addressed to
young photojournalists from former Soviet countries. The Photojournalism
course will be led both by local and foreign professional
photojournalists. Local course leader will conduct theoretical and
practical classes. The course includes lectures on History of
Photojournalism, Genres of Photojournalism, Modern Photojournalism,
Problems of Photojournalism, developments and new waves of
Photojournalism. 
The foreign trainers provided by World Press Photo during the entire
course will be supervising the Photojournalism course in online regime
and will lead short-term workshops in Yerevan. 
Participants of Photojournalism course will practice their skills in
local print media, photo and news agencies, magazines. Classes are
taught twice a week /8 hours per week/. Working language is Russian.
Special meetings and lectures are organized for students during the
entire course.
The teaching language is Russian. Main classes are taught on weekdays
starting at 10:00. For a certificate of completion, students must take
at least 10 hours of main courses a week and pass exams at the end of
each trimester.
EDUCATIONAL LEVEL:  Postgraduate
REQUIREMENTS:  Fluent in Russian language.",NA
Java/PHP Developer,GlobalSoft,"Yerevan, Armenia","The role requires dedicated and responsible Java/PHP
professionals. The responsibilities of this position are focused on
software development tasks such as developing integrated  web
applications and web portal systems."
Office Manager,"The Eurasia Foundation, Representative Office in Armenia","Yerevan, Armenia","The role of the Office Manager is to provide
comprehensive and professional office administration services to the
Eurasia Foundation Representative Office in Armenia."
"Project Assistant, Education and Young People's Health and",United Nations Children's Fund (UNICEF),"Yerevan, Armenia","Under general supervision of Assistant Project
Officer, provides support to overall planning, implementation,
monitoring and evaluation of project activities."
Customer Service Operator,"""Netsys"" JV LLC","Yerevan, Armenia","The incumbent will work in Customer Service Department
in a team with other Customer Service Operators."
Caucasus Studies Course,Caucasus Media Institute (CMI),"Yerevan, Armenia
DETAIL DESCRIPTION:  Caucasus Studies is a one-year major in
contemporary studies of South and North Caucasus. Students will follow
courses on contemporary politics, history, religion, ethnology,
anthropology, transition studies, South Caucasus languages, Diaspora
studies, research writing in English or Russian, plus selective courses
(including journalism). 
The teaching language is Russian. Main classes are taught on weekdays
starting at 10:00. For a certificate of completion, students must take
at least 10 hours of main courses a week and pass exams at the end of
each trimester.
EDUCATIONAL LEVEL:  Postgraduate
REQUIREMENTS:  Fluent in Russian language.",NA
Journalism Course,Caucasus Media Institute (CMI),"Yerevan, Armenia
DETAIL DESCRIPTION:  The Journalism course is addressed to young
reporters and non-journalists who would like to be introduced to various
genres of journalism, including news, features and investigating
reporting. Journalism students will follow courses in their
specialization, creative writing in their language of expression
(Russian or Armenian), Contemporary Studies and Caucasus in Transition.
They can also choose from a number of selective courses.
The teaching language is Russian. Main classes are taught on weekdays
starting at 10:00. For a certificate of completion, students must take
at least 10 hours of main courses a week and pass exams at the end of
each trimester.
EDUCATIONAL LEVEL:  Postgraduate
REQUIREMENTS:  Fluent in Russian language; commitment to journalism in
CIS.",NA
Electrical Engineer,"""Intracom Armenia"" LLC","Yerevan,  Armenia",N/A
Procurement/ Logistics Officer,"""Intracom Armenia"" LLC","Yerevan,  Armenia","We are looking for a highly qualified
Logistics/Procurement Officer. He/she will report directly to the
Financial Director."
Civil Engineer,"""Intracom Armenia"" LLC","Yerevan,  Armenia",N/A
Designer,"""Intracom Armenia"" LLC","Yerevan,  Armenia",N/A
Telecommunications Engineer,"""Intracom Armenia"" LLC","Yerevan,  Armenia",N/A
Project Support and Logistics Engineer,"""Intracom Armenia"" LLC","Yerevan,  Armenia",N/A
IT Operator,HSBC Bank Armenia CJSC,"Yerevan, Armenia",N/A
Broker,Privat Invest  CJSC,"Yerevan,  Armenia","Privat Invest cjsc is looking for qualified persons to
carry out activities on the Armenian financial market. The incumbent will
buy/sell corporate and government securities, as well as prepare relevant
reports."
Model for photo shots,"""DG Contact"" Communication & Image Company","Yerevan, Armenia","We are seeking boys, girls, men and women for photo
shots. The photos of selected candidates will appear in the brochures,
posters, banners, etc."
PHP Software Developers,Lycos Europe,"Yerevan, Armenia","The role requires dedicated and responsible Java, C++
or PHP professionals. The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of Lycos teams."
Controller,Lycos Europe,"Yerevan, Armenia","The emphasis of this position is the implementation of
all central controlling instruments and processes in our Armenian
subsidiary as well as the consultation and support of the local resident
managing director. The incumbent will pass a training period for a
duration of 3 month which will take place in our German headquarter in
Guetersloh/ Germany."
System Administrator/ Software Engineer,Pashtonakan Teghekagir CJSC,"Yerevan, Armenia","System administration, software and technical support
for exploitation of hardware/software systems."
Developer (m/f) ID No. 4,Lycos Europe,"Yerevan, Armenia","We are looking for motivated technical persons to take
over a new position as a Developer. You will belong to a young and
dynamic team working with the advertising system and its existing
interfaces. You will work on very different projects like customisation
of the system, building of complex new interfaces, further development
of our reporting tools. During these projects you will also work
together with your colleagues in different European countries."
Java Software Developers,Lycos Europe,"Yerevan, Armenia","The role requires dedicated and responsible Java, C++
or PHP professionals. The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of Lycos teams."
Senior Developers,Lycos Europe,"Yerevan,  Armenia","The role requires dedicated and responsible Java, C++
or PHP professionals. The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of Lycos teams."
C/C++ Software  Developers,Lycos Europe,"Yerevan, Armenia","The role requires dedicated and responsible Java, C++
or PHP professionals. The key elements of the role are full life cycle
product development working in a technically strong team through
requirements gathering, architecture, development and release. The
candidate is required to work closely with the other technical members
of Lycos teams."
Flash Action Scripting Programmer,Lycos Europe,"Yerevan,  Armenia","At Lycos we are developing new online flash games for
our community portal and we are looking for a talented programmer with
extremely strong knowledge of Math/Geometry and Physics to fill this
position. We need someone who is strong in technical programming (C++ or
Java) and familiar with ActionScript. Those who are not familiar with
ActionScript but are willing to learn and work with it can also apply
for this position."
Brand Manager,"""Tanger "" Recruitment Company","Yerevan, Armenia","We are seeking a Brand Manager to work for a trading
company."
Product & Customer Care Manager Free Hosting,Lycos Europe,"Yerevan, Armenia",N/A
Customer Care Coordinator,Lycos Europe,"Yerevan, Armenia","In order to complete our European sales support team
in Armenia, we are currently looking to recruit several employees as
Customer Care Co-ordinator. In this position we entrust our most
important international clients to you. The incumbent will be
responsible for the commercial and technical implementation of their
advertising campaigns."
Automated Test Engineer,CQGI MA,"Yerevan, Armenia","The primary objective of this position is to ensure
the quality of CQG products by following and enhancing the SQA (Software
Quality Assurance) processes."
Information Technologies Manager,"""Cascade Capital Holdings"" CJSC","Yerevan, Armenia","We are looking for a motivated, proactive, highly
proficient candidate for the position of Information Technologies
Manager. The successful candidate will be responsible for leading the
Information Technologies team work, and will report to the Executive
Director of ""Cascade Capital Holdings"". This position requires
leadership and excellent communication skills. Candidates must have the
ability to adapt and promptly respond to rapidly changing situations.
This is a challenging position and a unique career opportunity for the
right candidate."
Personal Assistant,"""Cascade Capital Holdings"" CJSC","Yerevan, Armenia","We are looking for a motivated, personable, highly
proficient candidate for the position of Personal Assistant. The
successful candidate will report to the Executive Director of Cascade
Capital Holdings. This position requires excellent communication and
problem solving skills. This is a challenging position and a unique
career opportunity for the right candidate."
Gemstones and Jewelry Specialist,Chemonics International,"Yerevan, Armenia","Gemstone and Jewelry Specialist will work with
American and Armenian team on USAID project which seeks to stimulate job
creation, improve competitiveness, and enhance enterprise development.
Specialist will work with gemstone and jewelry enterprises to find
opportunties for appropriate financing, to identify local suppliers and
help identify new markets that will help the industry to become more
competitive on the world market."
Textiles and Apparel Specialist,Chemonics International,"Yerevan, Armenia","Textiles and Apparel Specialist will work with
American and Armenian team on USAID project which seeks to stimulate job
creation, improve competitiveness, and enhance enterprise development.
Specialist will liaise with textile and apparel firms to identify
potential use of local supplies for production, identify both local and
export market opportunities and facilitate linkages with
industry-related associations and organizations in Armenia and abroad."
